UA4000192132,,192132,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 000 000,24.11.2015,"1 000,00 (UAH)",24.11.2015,VRAI,??????,FAUX,29.03.2028
UA4000192355,,192355,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,4 000 000,15.12.2015,"1 000,00 (UAH)",15.12.2015,VRAI,??????,FAUX,26.04.2028
UA4000187348,,187348,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 000 000,31.10.2014,"1 000,00 (UAH)",30.12.2015,VRAI,??????,FAUX,12.10.2029
UA4000187884,,187884,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,3 250 000,14.11.2014,"1 000,00 (UAH)",30.12.2015,VRAI,??????,FAUX,27.04.2029
UA4000192660,,192660,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,535 000,27.01.2016,"1 000,00 (UAH)",28.01.2016,VRAI,??????,FAUX,23.01.2019
UA4000192678,,192678,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ? ???????????? ???????? ??????????????? ??????,3 000 000,29.01.2016,"1 000,00 (UAH)",01.02.2016,VRAI,??????,FAUX,26.11.2025
UA4000192686,,192686,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ? ???????????? ???????? ??????????????? ??????,3 000 000,29.01.2016,"1 000,00 (UAH)",01.02.2016,VRAI,??????,FAUX,24.12.2025
UA4000192694,,192694,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ? ???????????? ???????? ??????????????? ??????,3 319 000,29.01.2016,"1 000,00 (UAH)",01.02.2016,VRAI,??????,FAUX,14.01.2026
UA4000194088,,194088,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,3 057 500,27.04.2016,"1 000,00 (UAH)",28.04.2016,VRAI,??????,FAUX,24.04.2019
XS1303929894,,XS9894,13480,???????????? ???????? ???????,????????? ????????? ???????????????? ???????,3 214 120,11.11.2015,"1 000,00 (USD)",11.05.2016,FAUX,???????????????,FAUX,31.05.2040
