"Nom";"ISIN";"Symbole";"Place";"Maturité";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Bonds";"";;;;;;;;;;;;
"09 Avr 2019";;;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;;
"DANONE2.25%15NOV21";"FR0011625409";"BNAF";"Euronext Paris";"2021-11-15";"%";"106.09";"106.09";"106.09";"106.09";"07/11/2018 09:45";"CET";"100000";"106090.00"
"DANONE2.6%28JUN23";"FR0011527241";"BNAE";"Euronext Paris";"2023-06-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DANONEFRN9MAY2019";"FR0011894633";"BNAG";"Euronext Paris";"2019-05-09";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DANONFRN14JAN20";"FR0012432904";"BNAK";"Euronext Paris";"2020-01-14";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DB 0.9%15SEP19CV";"BE3062664839";;"Euronext Expert Market";"2019-09-15";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DB CAP T1 FRNPL";"DE000A0E5JD4";;"Euronext Amsterdam";;"%";"71.00";"71.00";"71.00";"71.00";"22/02/2019 13:55";"CET";"3000";"2130.00"
"DB DJ INDEX   6%35";"XS0210953039";;"Euronext Amsterdam";;"%";"80.00";"80.00";"80.00";"80.00";"01/08/2018 16:33";"CET";"16000";"12800.00"
"DB FX/FL      5%35";"XS0230409301";;"Euronext Amsterdam";"2035-10-13";"%";"103.00";"103.00";"103.00";"103.00";"22/02/2019 11:49";"CET";"12000";"12360.00"
"DB0.82%3DEC21";"BE3062697193";;"Euronext Expert Market";"2021-12-03";"%";"94.00";"94.00";"94.00";"94.00";"21/08/2018 12:00";"CET";"25000";"23500.00"
"DB1.3%12AUG19";"BE3062633529";;"Euronext Expert Market";"2019-08-12";"%";"97.25";"97.25";"97.25";"97.25";"02/10/2018 12:00";"CET";"20000";"19450.00"
"DBASRHI1.495%OCT25";"FR0012990372";"DBHAB";"Euronext Paris";"2025-10-06";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DBASRHIN1.23%APR22";"FR0012188621";"DBHAA";"Euronext Paris";"2022-04-06";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCDML16-1A28JAN49";"XS1373216453";;"Euronext Amsterdam";"2049-01-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCDML16-1B28JAN49";"XS1373216610";;"Euronext Amsterdam";"2049-01-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCDML16-1C28JAN49";"XS1373216701";;"Euronext Amsterdam";"2049-01-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCDML16-1D28JAN49";"XS1373216966";;"Euronext Amsterdam";"2049-01-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCDML16-1E28JAN49";"XS1373217006";;"Euronext Amsterdam";"2049-01-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCDML16-1F28JAN49";"XS1442019144";;"Euronext Amsterdam";"2049-01-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCDML16-1RS28JAN49";"XS1373217261";;"Euronext Amsterdam";"2049-01-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCL  V 04JUN19";"FR0125013187";;"Euronext Paris";"2019-06-04";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCL  V 31MAY19";"FR0125013179";;"Euronext Paris";"2019-05-31";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCL  Z 06JUN19";"FR0125013195";;"Euronext Paris";"2019-06-06";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCL  Z 11JUL19";"FR0125167686";;"Euronext Paris";"2019-07-11";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCL  Z 12SEP19";"FR0125167652";;"Euronext Paris";"2019-09-12";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DCL  Z 26JUL19";"FR0125167603";;"Euronext Paris";"2019-07-26";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DDP5.5%01MAY2018";"FR0011493501";"DDPAB";"Euronext Access Paris";"2018-05-01";"%";"100.00";"100.00";"100.00";"100.00";"23/05/2013 15:00";"CET";"85000";"85350.63"
"DE3.357%02JUL2020";"FR0010917740";"DEAA";"Euronext Paris";"2020-07-02";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DECEUN3.75%8DEC22";"BE0002238070";;"Euronext Brussels";"2022-12-08";"%";"102.90";"102.90";"102.90";"102.90";"27/02/2019 13:02";"CET";"10000";"10290.00"
"DELHA3.125%27FEB20";"BE0002189554";"DEL20";"Euronext Brussels";"2020-02-27";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DELTA L L9%28AUG42";"XS0821168423";;"Euronext Amsterdam";"2042-08-29";"%";"126.00";"126.00";"125.75";"125.80";"08/04/2019 17:26";"CET";"83000";"104431.50"
"DELTALLOYDFRNPL";"XS1076781589";;"Euronext Amsterdam";;"%";"107.70";"108.05";"107.70";"108.05";"08/04/2019 14:03";"CET";"37000";"39943.50"
"DEPBASRHINFRNOCT23";"FR0011593466";"RBRAA";"Euronext Paris";"2023-10-22";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DEPDOR1.61%04JUN26";"FR0012749885";"DDAD";"Euronext Paris";"2026-06-04";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DEPDOR2.74%13MAY25";"FR0011858497";"DDAC";"Euronext Paris";"2025-05-13";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DEPDORD3.75%SEP23";"FR0011305739";"DDAA";"Euronext Paris";"2023-09-06";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DEPDORDFRNMAY2024";"FR0011474774";"DDAB";"Euronext Paris";"2024-05-27";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DEPTESSON4%27NOV21";"FR0011203207";"DEAH";"Euronext Paris";"2021-11-27";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DIACTPFRN29OCT49";"FR0000047821";;"Euronext Paris";;"EUR";"225.00";"225.00";"225.00";"225.00";"02/04/2019 16:30";"CET";"24";"5400.00"
"DIRECNE3.25%6OCT23";"FR0013216033";"DIRAD";"Euronext Access Paris";"2023-10-06";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DIRECNERG4.4%NOV20";"FR0013060076";"DIRAB";"Euronext Access Paris";"2020-11-24";"%";"106.00";"106.00";"106.00";"106.00";"17/01/2017 15:00";"CET";"100000";"106675.07"
"DIRECNERG4.8%NOV22";"FR0013060084";"DIRAC";"Euronext Access Paris";"2022-11-24";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DIRECTENER5%3NOV22";"FR0012224566";"DIRAA";"Euronext Paris";"2022-11-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DLB 4% 13SEP21";"BED20002KTZ1";;"Euronext Expert Market";"2021-09-13";"%";"106.40";"106.40";"106.40";"106.40";"10/01/2017 12:00";"CET";"100000";"106400.00"
"DLB3.9-5.5%24JUN20";"BED20002A8W1";;"Euronext Expert Market";"2020-06-24";"%";"108.00";"108.00";"108.00";"108.00";"29/03/2016 12:00";"CET";"10000";"10800.00"
"DMBS17 A1 FRNOCT44";"XS0833086563";;"Euronext Amsterdam";"2044-10-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DMBS17 A2 FRNOCT44";"XS0833089153";;"Euronext Amsterdam";"2044-10-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DMBS17 B FRNOCT44";"XS0833091480";;"Euronext Amsterdam";"2044-10-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DMBS17 C FRNOCT44";"XS0833095986";;"Euronext Amsterdam";"2044-10-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DMBS17 D FRNOCT44";"XS0833097099";;"Euronext Amsterdam";"2044-10-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DMBS17 E FRNOCT44";"XS0833097842";;"Euronext Amsterdam";"2044-10-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DMBSXIXAFRN25NOV50";"XS1906408411";;"Euronext Amsterdam";"2050-11-25";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DMBSXIXBFRN25NOV50";"XS1906410235";;"Euronext Amsterdam";"2050-11-25";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DMBSXIXCFRN25NOV50";"XS1906410318";;"Euronext Amsterdam";"2050-11-25";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DMBSXIXDFRN25NOV50";"XS1906410409";;"Euronext Amsterdam";"2050-11-25";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOL07 E FRNSEP99";"XS0323257344";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOL10 A3 FRNSEP99";"XS0495571910";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOL10 A4 FRNSEP99";"XS0495572991";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"Dolp B FRN 28SEP99";"XS1688694287";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"Dolp C FRN 28SEP99";"XS1688694790";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"Dolp D FRN 28SEP99";"XS1688694527";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"Dolp E FRN 28SEP99";"XS1688694360";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOLP FRN%28SEP99";"XS1117961653";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
